date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Butembo,,,,,,,,
20180729,North-Kivu,Butembo,,,,,,,,
20180730,North-Kivu,Butembo,,,,,,,,
20180731,North-Kivu,Butembo,,,,,,,,
20180801,North-Kivu,Butembo,,,,,,,,
20180802,North-Kivu,Butembo,,,,,,,,
20180803,North-Kivu,Butembo,2,0,0,0,2,0,,
20180804,North-Kivu,Butembo,,,,,,,,
20180805,North-Kivu,Butembo,2,0,0,0,2,0,,
20180806,North-Kivu,Butembo,2,0,0,0,2,0,,
20180807,North-Kivu,Butembo,2,0,0,0,2,0,,
20180808,North-Kivu,Butembo,2,0,0,0,2,0,,
20180809,North-Kivu,Butembo,2,0,0,0,2,0,,
20180810,North-Kivu,Butembo,2,0,1,1,2,0,,
20180811,North-Kivu,Butembo,2,0,0,0,2,0,,
20180812,North-Kivu,Butembo,2,0,2,2,2,0,,
20180813,North-Kivu,Butembo,2,0,0,2,2,0,,
20180814,North-Kivu,Butembo,2,0,0,2,2,0,,
20180815,North-Kivu,Butembo,2,0,0,2,2,0,,
20180816,North-Kivu,Butembo,2,0,1,1,2,0,,
20180817,North-Kivu,Butembo,2,0,0,0,2,0,,
20180818,North-Kivu,Butembo,2,0,0,0,2,0,,
20180819,North-Kivu,Butembo,2,0,0,0,2,0,,
20180820,North-Kivu,Butembo,2,0,0,0,2,0,,
20180821,North-Kivu,Butembo,2,0,0,0,2,0,,
20180822,North-Kivu,Butembo,2,0,0,0,2,0,,
20180823,North-Kivu,Butembo,2,0,0,0,2,0,,
20180824,North-Kivu,Butembo,2,0,1,1,2,0,,
20180825,North-Kivu,Butembo,2,0,1,1,2,0,,
20180826,North-Kivu,Butembo,2,0,0,0,2,0,,
20180827,North-Kivu,Butembo,2,0,0,0,2,0,,
20180828,North-Kivu,Butembo,2,0,0,0,2,0,,
20180829,North-Kivu,Butembo,2,0,0,0,2,0,,
20180830,North-Kivu,Butembo,2,0,0,0,2,0,,
20180831,North-Kivu,Butembo,2,0,0,0,2,0,,
20180901,North-Kivu,Butembo,2,0,3,3,2,0,,
20180902,North-Kivu,Butembo,2,0,0,3,2,0,,30
20180903,North-Kivu,Butembo,2,0,0,0,2,0,,60
20180904,North-Kivu,Butembo,2,1,0,0,3,1,,70
20180905,North-Kivu,Butembo,2,1,0,0,3,1,,70
20180906,North-Kivu,Butembo,2,1,1,1,3,1,0,107
20180907,North-Kivu,Butembo,2,1,3,3,3,1,0,107
20180908,North-Kivu,Butembo,2,1,0,0,3,1,0,167
20180909,North-Kivu,Butembo,2,2,0,0,3,1,0,287
20180910,North-Kivu,Butembo,2,2,0,0,3,1,1,346
20180911,North-Kivu,Butembo,2,3,4,4,3,1,1,444
